System,Faithfulness,Answer Relevancy,Context Precision,Context Recall,Answer Similarity,Answer Correctness,Average
"Chunk size 2000, 20%, K=3",0.26124491965907787,0.4434206011184277,0.5946564467862546,0.32777777776361106,0.2735384767181427,0.6757797057437042,0.4294029879648697
"Chunk size 2000, 20%, K=5",0.7407407407407407,0.8067368968063374,0.3959259259096219,0.11666666666666667,0.7931008484720189,0.2614570302998229,0.519104684815868
"Chunk size 2000, 20%, K=6",0.4479914529780387,0.2248919166010278,0.8211034231198641,0.3903946366534817,0.7010333784992524,0.7494467170440198,0.5558102541492808
Parent Retriever 1000-200,0.4084673456901119,0.6682629934359869,0.5988946943180385,0.6799931538891162,0.6489496197524974,0.4318318725342809,0.572733279936672
Parent Retriever 500-100,0.5293429925786298,0.49621282652588106,0.6048859726820772,0.5297906630952525,0.4288725783677302,0.6212918175161639,0.5350661417942891
Parent Retriever 1500-200,0.6688344597379512,0.38122144157380344,0.648755973345673,0.497417634137434,0.47512886245762265,0.5952496356664047,0.5444346678198149
MMR,0.7222222222222222,0.6116054348169574,0.3957344159490035,0.12333333333333334,0.7860405702722345,0.21651014256805864,0.47590768652696824
BM25,0.45827382024685853,0.46164089266761726,0.326519440031216,0.31219858328729977,0.5851422233452339,0.3304677473571042,0.41237378448922163
Ensambler 1,0.47827092083047995,0.7035509693663186,0.6712688328812506,0.67367543538418,0.5664966991932185,0.3890931976825805,0.5803926758896713
Ensambler 2,0.6219463253394002,0.42945916109739707,0.5843219847853248,0.6824942558971413,0.6255976792531102,0.5771263083684076,0.5868242857901301
Ensambler 3,0.6146241563058176,0.7233798551584124,0.8016334436906767,0.40277573888692086,0.6116342752585151,0.6215854027781279,0.6292721453464117
Search query,0.593193726535907,0.5869864461767628,0.4647910211526954,0.3915978314098548,0.7860236160346032,0.34638513035181306,0.528162961943606
"Ensambler 3, GPT-4",0.7038284382779683,0.7774378224172362,0.6648029767734231,0.40576151861245874,0.5833673859441937,0.6457248176799798,0.6301538266175434
"Ensambler 2, GPT-4",0.6119529584685928,0.7004453913941443,0.5491278627462925,0.667280120864103,0.4844432620083406,0.46768702458229916,0.5801561033439621
"Ensambler 1, GPT-4",0.5415736587816731,0.3357099773561582,0.5966991939053355,0.7120088855287826,0.7165927194825208,0.5844298243744722,0.5811690432381572
